title,author
云彩收集者手册,[英] 加文·普雷特-平尼
枪炮、病菌与钢铁,谢延光
肠子的小心思,【德】朱莉娅·恩德斯
哥德尔、艾舍尔、巴赫,严勇
人类简史,[以] 尤瓦尔·赫拉利
哲学·科学·常识,陈嘉映
七堂极简物理课,[意] 卡洛·罗韦利
纸上动物园,[英] 夏洛特·斯莱
地理学与生活,[美] 阿瑟·格蒂斯
人类的明天,[法] 席里尔·迪翁
尼安德特人,[瑞典] 斯万特·帕博（Svante Pääbo）
极简宇宙史,童文煦
生命3.0,[美] 迈克斯·泰格马克
上帝掷骰子吗?,曹天元
时间的形状,汪洁
打开一颗心,[英] 斯蒂芬·韦斯塔比
万物简史,严维明
癌症·真相,菠萝
超越时空,刘玉玺
当下的启蒙,[美] 史迪芬·平克
通识,日本实业出版社
我是个怪圈,[美]侯世达
规模,杰弗里·韦斯特 (Geoffrey West)
睡眠革命,[英] 尼克·利特尔黑尔斯
血疫,[美] 理查德·普雷斯顿
美的进化,[美]理查德·O.普鲁姆（Richard O. Prum）
迷人的材料,【英】马克·米奥多尼克
直觉泵和其他思考工具,丹尼尔•丹尼特 ( Daniel C. Dennett)
薛兆丰经济学讲义,薛兆丰
只有医生知道!,只有医生知道
生命是什么,王立铭
尸体变化图鉴,陈禄仕
数学之美 （第二版）,吴军
现实不似你所见,博集天卷
吃货的生物学修养,原点阅读系列丛书
病者生存,[美]沙龙·莫勒姆（Sharon Moalem）
生命的运作方式,[美] 马伦·霍格兰（Mahlon Hoagland)
最好的告别,湛庐文化
什么是数学,[美] R·柯朗 H·罗宾 著
生命是什么,[以色列]埃迪·普罗斯
万万没想到,万维钢
人类愚蠢辞典,[意大利] 皮耶尔乔治·奥迪弗雷迪
心理学与生活,王垒
果壳中的宇宙,吴忠超
智能时代,吴军
那些古怪又让人忧心的问题,未读
海错图笔记,张辰亮
十分钟智商运动,李永乐
复杂,唐璐
生命是什么,[奥]埃尔温·薛定谔
极简科学起源课,[意] 卡洛•罗韦利
创造自然,[德] 安德烈娅·武尔夫
美国科学·生命科学·一年级,[美] 蒂莫西·库尼 等著
社会心理学,张智勇
简单的逻辑学,赵明燕
数学之美,Just-pub
皮肤的秘密,[德]耶尔•阿德勒 (Yael Adler)
对伪心理学说不,窦东徽
裸眼观星,[美]鲍勃•金
时间简史,史蒂芬·霍金
上帝掷骰子吗？,曹天元
宇宙奥德赛：漫步太阳系,王爽
茶杯里的风暴,【英】海伦•切尔斯基
牛奶可乐经济学,湛庐文化
20世纪简史,[澳]杰弗里·布莱内
看不见的森林,熊姣
那些古怪又让人忧心的问题,未读
植物知道生命的答案,丹尼尔·查莫维茨
别闹了，费曼先生,吴程远
AI·未来,李开复
生命的跃升,张博然
文明之光（第一册）,Just-pub
昆虫记,王光
国家地理终极观星指南,Howard Schneider
浪潮之巅,Just-pub
万物漫游指南（套装2册）,局部气候
海洋中的爱与性,[美] 玛拉·J. 哈尔特
编码,博文视点
隐藏的现实,李剑龙
万物：创世,后浪
费马大定理,薛密
火焰中的秘密,[德]延斯 ·森特根
博物馆里的极简中国史,张经纬
宇宙的琴弦,李泳
性健康（第3版）,[英] 凯万·怀利 编著
无论如何都想告诉你的时间杂学,[日] 久我胜利
我的世界观,[美] 阿尔伯特•爱因斯坦
十亿美元分子,[美] 巴里•沃思
宇宙,[美]卡尔·萨根(Carl Sagan)
消失的微生物,［美］马丁•布莱泽
改变心理学的40项研究,白学军
大设计,吴忠超
所罗门王的指环,康拉德•洛伦茨
身体从未忘记,Bessel van der Kolk M.D. (范德考克)
纽约：一座超级城市是如何运转的,[美] 凯特·阿歇尔
地球之美,[法] 帕特里克·德韦弗  文
鱼什么都知道,[美] 乔纳森·巴尔科姆
我们为什么会生病,[美] 伦道夫·M·尼斯
艺术的故事,范景中
佛祖都说了些什么?,林欣浩
万物解释者,未读
大灭绝时代,叶盛
医生最想让你读的书,杰尔姆·格罗普曼
信息简史,高博
我们为什么生病,[美] R.M.尼斯
癌症·新知：科学终结恐慌,李治中（菠萝）
码书,后浪
天气预报：一部科学探险史,[英]彼得•穆尔
脑与意识,斯坦尼斯拉斯•迪昂 (Stanislas Dehaene)
宇宙的尺度,[美]大卫·布拉特纳（David Blatner）
寂静的春天,吕瑞兰
心外传奇,李清晨
自私的基因,卢允中
What If?,Randall Munroe
认识身体,[英] 加文•弗朗西斯
星际穿越,湛庐文化
Why We Sleep,Matthew Walker PhD
这才是心理学,基思·斯坦诺维奇 (Keith E.Stanovich)
复杂,梅拉妮•米歇尔 (Melanie Mitchell)
如何制作一个哥哥,[法] 安纳斯·芙吉拉 编绘
经济学通识课,[英] 尼尔·基什特尼
一个观点，不一定对,黄章晋
平行宇宙,伍义生
巫师、外星人和星舰,[美] 查尔斯·阿德勒
星空的琴弦,汪洁
神经的逻辑,[美]埃利泽·斯滕伯格
第三种黑猩猩,王道还
物理世界奇遇记,（美）伽莫夫
会动的相对论,[加] 斯蒂芬·杜兰德
证券公司图鉴,[日] 青山邦彦
第五次开始,[美]罗伯特·L.凯利
语言本能,欧阳明亮
上帝掷骰子吗,曹天元
所罗门王的指环,游复熙
外星生命简史,（美）罗恩·米勒  Ron Miller
平面国,艾勃特
见识丛书25：自私的基因（40周年增订版）,[英]理查德·道金斯
大众天文学(上下两册),理想国
迷人的技术,[美]凯莉•魏纳史密斯
万物运转的秘密,大卫·麦考利 (David Macaulay)
控制论与科学方法论,金观涛
大自然的社交网络,[德]彼得·渥雷本
一本不正经的大脑,[美] 阿特·马克曼
上瘾五百年,薛绚
醉酒的植物学家,[美] 艾米·斯图尔特
中国古代文化常识（插图修订第4版）,王力 主编
发现的乐趣,未读
这才是心理学（第9版）,基思·斯坦诺维奇 (Keith E.Stanovich)
数学,[英] 蒂莫西•高尔斯
宇宙从一粒尘埃开始,[英]布莱恩·考克斯（Brain Cox）
当自然赋予科技灵感,[法] 玛特·富尼耶
智识分子,万维钢
阿西莫夫最新科学指南（上下册）,朱岚 [等]
斯坦福极简经济学,[美] 蒂莫西‧泰勒
了不起的地下工作者,[美]艾米•斯图尔特
性本自然,（加）卡琳·邦达尔  Carin Bondar
什么是科学,吴国盛
人体的故事,蔡晓峰
宇宙的结构,布赖恩•格林 (Brian Greene)
给好奇者的暗黑物理学,[法]罗兰•勒乌克
疯狂的进化,马特·西蒙（Matt Simon）
夜观星空,特伦斯•迪金森
暗淡蓝点,叶式辉
不吃糖的理由：上瘾、疾病与糖的故事,[美]加里·陶布斯（Gary Taubes）
小顾聊绘画·文艺复兴,顾爷
认识电影：全彩插图第12版,后浪
时间的形状,汪洁
阿波罗,[英] 扎克·斯科特
如何给狮子剥皮,[英] 克莱尔·科克-斯塔基
自然纪事,(法) 儒勒·列那尔
文明之光,Just-pub
什么是数学,R•柯朗
太空全书,詹姆斯·特赖菲尔 (James Trefil)
人工智能,李开复
